['182', '1527156419165', '-0.177', '0.431', '10.336', 'AccStLineZ'],
['183', '1527156419173', '-0.177', '0.451', '10.277', 'AccStLineZ'],
['184', '1527156419183', '-0.118', '0.392', '10.317', 'AccStLineZ'],
['185', '1527156419190', '-0.118', '0.392', '10.317', 'AccStLineZ'],
['186', '1527156419199', '-0.137', '0.412', '10.434', 'AccStLineZ'],
['187', '1527156419207', '-0.177', '0.471', '10.336', 'AccStLineZ'],
['188', '1527156419215', '-0.177', '0.471', '10.336', 'AccStLineZ'],
['189', '1527156419226', '-0.177', '0.431', '10.356', 'AccStLineZ'],
['190', '1527156419231', '-0.098', '0.51', '10.434', 'AccStLineZ'],
['191', '1527156419240', '-0.098', '0.51', '10.434', 'AccStLineZ'],
['192', '1527156419248', '0', '0.51', '10.434', 'AccStLineZ'],
['193', '1527156419257', '0.078', '0.471', '10.336', 'AccStLineZ'],
['194', '1527156419265', '0.039', '0.451', '10.317', 'AccStLineZ'],
['195', '1527156419273', '0', '0.412', '10.238', 'AccStLineZ'],
['196', '1527156419282', '-0.02', '0.373', '10.219', 'AccStLineZ'],
['197', '1527156419291', '-0.02', '0.373', '10.219', 'AccStLineZ'],
['198', '1527156419299', '0.157', '0.51', '10.179', 'AccStLineZ'],
['199', '1527156419307', '0.02', '0.451', '10.277', 'AccStLineZ'],
['200', '1527156419316', '0.137', '0.431', '10.689', 'AccStLineZ'],
['201', '1527156419324', '0.137', '0.471', '10.336', 'AccStLineZ'],
['202', '1527156419332', '-0.039', '0.431', '10.356', 'AccStLineZ'],
['203', '1527156419341', '-0.039', '0.431', '10.356', 'AccStLineZ'],
['204', '1527156419349', '0.118', '0.412', '10.297', 'AccStLineZ'],
['205', '1527156419357', '0.216', '0.431', '10.317', 'AccStLineZ'],
['206', '1527156419366', '0.275', '0.451', '10.297', 'AccStLineZ'],
['207', '1527156419375', '0.177', '0.451', '10.317', 'AccStLineZ'],
['208', '1527156419383', '-0.02', '0.392', '10.238', 'AccStLineZ'],
['209', '1527156419394', '-0.02', '0.392', '10.238', 'AccStLineZ'],
['210', '1527156419400', '-0.804', '0.392', '10.611', 'AccStLineZ'],
['211', '1527156419409', '-0.039', '0.49', '10.434', 'AccStLineZ'],
['212', '1527156419416', '-0.137', '0.471', '10.356', 'AccStLineZ'],
['213', '1527156419425', '0.098', '0.569', '10.238', 'AccStLineZ'],
['214', '1527156419434', '-0.235', '0.51', '10.297', 'AccStLineZ'],
['215', '1527156419442', '-0.235', '0.51', '10.297', 'AccStLineZ'],
['216', '1527156419450', '-0.49', '0.53', '10.317', 'AccStLineZ'],
['217', '1527156419458', '-0.412', '0.549', '10.258', 'AccStLineZ'],
['218', '1527156419467', '-0.333', '0.51', '10.336', 'AccStLineZ'],
['219', '1527156419475', '-0.353', '0.49', '10.297', 'AccStLineZ'],
['220', '1527156419484', '-0.431', '0.49', '10.238', 'AccStLineZ'],
['221', '1527156419492', '-0.431', '0.49', '10.238', 'AccStLineZ'],
['222', '1527156419500', '-0.333', '0.51', '10.258', 'AccStLineZ'],
['223', '1527156419509', '-0.314', '0.471', '10.395', 'AccStLineZ'],
['224', '1527156419517', '-0.196', '0.451', '10.297', 'AccStLineZ'],
['225', '1527156419526', '-0.196', '0.451', '10.375', 'AccStLineZ'],
['226', '1527156419534', '-0.078', '0.51', '10.395', 'AccStLineZ'],
['227', '1527156419542', '-0.078', '0.51', '10.395', 'AccStLineZ'],
['228', '1527156419551', '-0.039', '0.549', '10.395', 'AccStLineZ'],
['229', '1527156419559', '-0.078', '0.51', '10.336', 'AccStLineZ'],
['230', '1527156419568', '-0.196', '0.431', '10.297', 'AccStLineZ'],
['231', '1527156419576', '-0.255', '0.392', '10.395', 'AccStLineZ'],
['232', '1527156419584', '-0.235', '0.392', '10.336', 'AccStLineZ'],
['233', '1527156419593', '-0.235', '0.392', '10.336', 'AccStLineZ'],
['234', '1527156419601', '-0.137', '0.373', '10.356', 'AccStLineZ'],
['235', '1527156419610', '-0.137', '0.353', '10.336', 'AccStLineZ'],
['236', '1527156419618', '-0.02', '0.373', '10.336', 'AccStLineZ'],
['237', '1527156419626', '0', '0.392', '10.277', 'AccStLineZ'],
['238', '1527156419635', '-0.059', '0.412', '10.297', 'AccStLineZ'],
['239', '1527156419643', '-0.059', '0.412', '10.297', 'AccStLineZ'],
['240', '1527156419652', '-0.059', '0.373', '10.297', 'AccStLineZ'],
['241', '1527156419660', '-0.039', '0.373', '10.317', 'AccStLineZ'],
['242', '1527156419668', '-0.098', '0.412', '10.375', 'AccStLineZ'],
['243', '1527156419676', '-0.059', '0.431', '10.317', 'AccStLineZ'],
['244', '1527156419685', '-0.118', '0.431', '10.297', 'AccStLineZ'],
['245', '1527156419693', '-0.118', '0.431', '10.297', 'AccStLineZ'],
['246', '1527156419702', '-0.137', '0.451', '10.336', 'AccStLineZ'],
['247', '1527156419710', '-0.235', '0.451', '10.317', 'AccStLineZ'],
['248', '1527156419719', '-0.157', '0.471', '10.336', 'AccStLineZ'],
['249', '1527156419727', '-0.216', '0.471', '10.356', 'AccStLineZ'],
